candidate_id,rank,score,reasoning
CAND_0036184,33,1.38,"Excellent candidate with 6.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0072688,34,1.38,"Excellent candidate with 6.9y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0005260,35,1.37,"Excellent candidate with 5.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0010685,36,1.37,"Excellent candidate with 6.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0047542,37,1.37,"Excellent candidate with 5.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0052328,38,1.37,"Excellent candidate with 6.5y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0058688,39,1.37,"Excellent candidate with 6.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0081852,40,1.37,"Excellent candidate with 5.9y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0008425,41,1.36,"Excellent candidate with 7.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0042029,42,1.36,"Excellent candidate with 6.5y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0049543,43,1.36,"Excellent candidate with 6.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0051630,44,1.36,"Excellent candidate with 6.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0066999,45,1.36,"Excellent candidate with 5.9y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0077285,46,1.36,"Excellent candidate with 5.5y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0092255,47,1.36,"Excellent candidate with 5.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0094728,48,1.36,"Excellent candidate with 6.5y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0000031,49,1.35,"Excellent candidate with 6.0y experience, Embeddings/Vector DB/Ranking/Python, Production experience, and Product company background."
CAND_0017093,50,1.35,"Excellent candidate with 5.9y experience, Embeddings/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0068410,51,1.35,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0089947,52,1.35,"Excellent candidate with 5.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0020877,53,1.34,"Excellent candidate with 5.1y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0052682,54,1.34,"Excellent candidate with 6.6y experience, Embeddings/Vector DB/LLM/Python, Production experience, and Product company background."
CAND_0054394,55,1.34,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Local in Pune/Noida."
CAND_0069638,56,1.34,"Excellent candidate with 6.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0073007,57,1.34,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0076163,58,1.34,"Excellent candidate with 6.9y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0078042,59,1.34,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and High engagement."
CAND_0081053,60,1.34,"Excellent candidate with 5.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0083879,61,1.34,"Excellent candidate with 7.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0002025,62,1.33,"Excellent candidate with 5.9y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0007052,63,1.33,"Excellent candidate with 6.5y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0055905,64,1.33,"Excellent candidate with 8.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0057736,65,1.33,"Excellent candidate with 6.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0061655,66,1.33,"Excellent candidate with Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Active recently."
CAND_0012837,67,1.32,"Excellent candidate with 6.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0036121,68,1.32,"Excellent candidate with 5.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0052335,69,1.32,"Excellent candidate with 6.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0081480,70,1.32,"Excellent candidate with 5.6y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0001131,71,1.31,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0005649,72,1.31,"Excellent candidate with 7.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0046525,73,1.31,"Excellent candidate with 6.1y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0048558,74,1.31,"Excellent candidate with 6.7y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0053695,75,1.31,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0060835,76,1.31,"Excellent candidate with 6.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0064256,77,1.31,"Excellent candidate with 6.4y experience, Embeddings/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0096104,78,1.31,"Excellent candidate with 7.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0096172,79,1.31,"Excellent candidate with 5.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0007411,80,1.3,"Excellent candidate with 8.0y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0018888,81,1.3,"Excellent candidate with 6.5y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0026640,82,1.3,"Excellent candidate with 6.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0049978,83,1.3,"Excellent candidate with 6.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0076831,84,1.3,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Tier-1 city resident."
CAND_0001056,85,1.29,"Excellent candidate with 5.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0008239,86,1.29,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Willing to relocate."
CAND_0014440,87,1.29,"Excellent candidate with 6.4y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0030348,88,1.29,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Local in Pune/Noida."
CAND_0030946,89,1.29,"Excellent candidate with 6.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0037566,90,1.29,"Excellent candidate with 6.9y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0038368,91,1.29,"Excellent candidate with 5.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0040117,92,1.29,"Excellent candidate with 6.5y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0040955,93,1.29,"Excellent candidate with 6.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0047327,94,1.29,"Excellent candidate with 5.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0071974,95,1.29,"Excellent candidate with 7.8y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0074735,96,1.29,"Excellent candidate with 5.5y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0076251,97,1.29,"Excellent candidate with 7.6y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0078492,98,1.29,"Excellent candidate with 5.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0098846,99,1.29,"Excellent candidate with 7.6y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0099806,100,1.29,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM, Production experience, Product company background, and Willing to relocate."
